Date,Centre ID,Time,Current Queue,Active Counters,Farmers Arrived,Farmers Processed,Average Processing Time,Crop,Quantity,Booked Farmers,Actual Waiting Time
2025-04-12,5,15:00,26,6,32,52,19.9,Mustard,12.9,52,40.7
2025-08-19,5,13:00,56,2,78,71,21.4,Rice,9.5,61,68.4
2025-03-02,3,10:00,59,5,80,34,13.4,Rice,26.3,115,74.9
2025-10-04,4,12:00,84,1,127,73,12.6,Rice,33.3,108,100.4
2025-09-13,5,11:00,33,4,62,38,19.1,Rice,16.6,69,65.4
2025-05-10,4,09:00,86,3,125,66,16.9,Cotton,1.3,134,103.6
2025-01-25,3,08:00,36,6,62,54,17.7,Mustard,24.4,41,43.6
2025-12-21,4,11:00,61,5,98,9,16.4,Mustard,15.1,107,78.7
2025-06-12,3,08:00,59,6,97,48,20.1,Wheat,23.9,82,57.4
2025-11-22,5,10:00,73,6,111,65,10.2,Mustard,10.4,108,74.7
2025-09-05,3,14:00,42,3,60,9,16.4,Wheat,1.1,71,56.9
2025-10-12,5,14:00,71,5,88,62,9.7,Rice,12.7,121,71.6
2025-10-05,1,14:00,31,1,75,7,13.9,Mustard,25.0,43,52.4
2025-03-13,1,11:00,44,4,78,65,18.3,Wheat,14.4,50,46.6
2025-05-13,1,15:00,44,1,85,59,15.4,Rice,8.5,70,59.6
2025-06-20,3,13:00,63,5,88,11,13.5,Rice,16.8,70,63.0
2025-07-01,4,10:00,55,6,96,54,22.0,Maize,26.6,70,64.1
2025-01-16,2,10:00,7,5,39,8,20.1,Maize,5.1,49,34.9
2025-07-19,1,14:00,72,6,105,42,15.9,Wheat,24.5,125,73.9
2025-02-26,5,10:00,68,2,76,69,23.2,Cotton,23.7,113,91.9
2025-09-29,4,12:00,9,6,34,15,14.2,Cotton,13.6,29,28.6
2025-09-07,4,17:00,86,4,118,13,20.4,Rice,34.0,138,108.6
2025-12-03,3,08:00,59,5,93,31,9.9,Mustard,31.4,85,58.7
2025-09-29,3,08:00,7,5,50,27,11.9,Cotton,11.7,18,21.3
2025-05-14,1,17:00,44,4,58,3,12.7,Rice,2.1,93,55.4
2025-12-20,1,13:00,75,2,88,34,8.8,Wheat,11.5,108,73.6
2025-05-30,5,10:00,25,4,68,19,15.5,Rice,8.0,49,53.3
2025-04-29,2,15:00,83,4,127,9,10.3,Rice,19.6,125,87.8
2025-11-27,4,15:00,37,6,45,20,17.8,Rice,32.2,84,56.6
2025-05-16,4,13:00,20,3,37,1,10.2,Rice,30.6,34,43.8
2025-01-28,2,13:00,32,4,74,68,9.1,Wheat,11.4,39,24.5
2025-06-21,2,11:00,47,4,55,74,23.5,Maize,15.6,80,68.0
2025-10-18,4,09:00,61,1,96,27,18.2,Wheat,2.2,64,82.9
2025-03-11,1,13:00,83,1,88,65,22.9,Cotton,19.5,124,90.5
2025-06-18,3,11:00,17,1,25,34,15.3,Cotton,3.2,45,48.3
2025-02-17,5,13:00,86,4,121,68,7.6,Cotton,32.9,99,80.7
2025-09-08,4,15:00,47,3,74,12,16.8,Maize,30.5,85,67.5
2025-06-23,4,08:00,11,6,35,21,16.5,Wheat,8.3,35,22.1
2025-05-01,1,13:00,83,5,121,55,7.3,Rice,24.8,108,71.9
2025-03-24,1,10:00,31,1,44,16,21.6,Wheat,20.3,45,60.4
2025-07-26,2,15:00,55,1,77,61,17.5,Mustard,28.2,98,72.3
2025-09-02,2,11:00,62,3,89,31,19.7,Cotton,17.2,120,84.4
2025-12-10,1,13:00,1,6,34,30,15.4,Maize,7.5,41,12.8
2025-06-09,5,13:00,19,1,33,33,17.5,Rice,22.8,34,49.1
2025-02-28,1,12:00,61,2,89,59,11.4,Rice,3.7,115,71.4
2025-10-31,4,14:00,29,1,49,0,23.6,Maize,20.9,36,61.4
2025-08-18,3,14:00,0,3,24,56,13.8,Cotton,8.2,18,16.5
2025-09-13,4,13:00,2,6,40,58,9.8,Cotton,24.3,4,15.9
2025-02-05,2,14:00,74,5,91,61,8.0,Mustard,29.2,129,61.9
2025-04-25,2,17:00,13,3,43,74,17.8,Mustard,4.7,15,22.2
2025-10-08,4,12:00,9,1,51,58,23.7,Rice,14.6,44,53.2
2025-10-31,2,12:00,50,3,84,39,22.2,Cotton,25.9,62,69.3
2025-06-08,4,08:00,10,4,54,34,18.9,Rice,6.6,23,34.0
2025-10-21,1,15:00,58,2,84,29,23.8,Maize,20.3,97,79.9
2025-11-04,1,12:00,48,5,60,62,19.3,Wheat,23.8,100,59.9
2025-05-22,4,12:00,58,6,102,29,12.8,Mustard,13.1,59,58.7
2025-11-24,4,09:00,44,2,73,42,17.2,Rice,29.3,54,65.1
2025-04-16,1,15:00,70,2,80,7,8.4,Cotton,18.4,88,65.6
2025-03-29,5,12:00,58,1,72,23,10.8,Cotton,22.3,119,90.3
2025-09-07,1,14:00,37,5,48,19,14.1,Maize,5.8,40,34.1
2025-08-21,5,10:00,1,3,38,32,10.4,Cotton,1.8,12,28.6
2025-02-21,4,16:00,24,2,28,37,23.2,Rice,2.7,50,44.3
2025-10-31,5,10:00,11,2,44,53,23.9,Rice,31.7,32,54.6
2025-03-14,5,10:00,1,1,25,32,13.3,Maize,31.0,4,39.3
2025-10-21,2,15:00,24,3,27,11,19.1,Mustard,28.5,59,51.0
2025-01-03,4,16:00,18,5,45,40,13.9,Wheat,7.8,57,24.0
2025-10-18,2,10:00,6,2,39,4,9.4,Maize,18.9,17,32.6
2025-10-15,3,12:00,28,1,60,63,12.7,Cotton,28.1,72,56.4
2025-10-12,2,14:00,45,3,68,57,11.0,Wheat,23.9,48,46.5
2025-08-31,3,15:00,16,5,31,16,12.6,Cotton,4.9,63,30.6
2025-06-22,5,11:00,24,3,31,19,10.7,Cotton,31.4,40,58.2
2025-09-15,3,12:00,1,2,1,2,8.9,Cotton,6.5,15,29.5
2025-04-12,1,14:00,4,1,20,27,10.7,Maize,6.8,16,22.3
2025-10-12,2,14:00,14,5,42,2,22.4,Mustard,31.6,70,50.2
2025-07-22,4,14:00,40,6,41,70,8.4,Mustard,17.5,72,33.7
2025-06-17,3,13:00,59,5,103,10,12.5,Cotton,13.7,103,67.8
2025-07-04,3,09:00,70,4,96,49,16.0,Wheat,19.8,83,72.7
2025-07-27,3,16:00,56,5,69,42,13.0,Wheat,34.4,59,49.4
2025-01-14,2,15:00,55,3,98,17,15.8,Maize,5.1,57,56.7
2025-02-21,3,15:00,84,1,92,60,7.7,Rice,26.7,112,91.1
2025-03-31,4,09:00,23,3,66,8,18.0,Mustard,12.4,44,57.1
2025-02-11,5,10:00,71,5,83,66,16.6,Rice,5.0,120,82.9
2025-06-10,4,14:00,84,4,101,55,18.6,Rice,15.3,135,87.2
2025-09-01,5,08:00,51,6,70,47,16.6,Mustard,19.7,71,55.7
2025-08-27,5,17:00,75,6,119,65,14.4,Maize,8.0,103,63.2
2025-06-21,1,11:00,12,2,23,30,13.0,Mustard,14.8,36,34.5
2025-11-09,2,14:00,79,1,122,21,10.8,Wheat,22.6,122,88.7
2025-07-26,2,15:00,50,2,65,11,15.5,Rice,20.6,90,77.8
2025-01-29,1,12:00,19,6,31,69,7.4,Wheat,25.6,61,28.0
2025-10-07,1,11:00,5,5,33,30,12.6,Maize,29.4,8,17.6
2025-07-29,4,13:00,64,1,95,62,18.5,Rice,14.9,85,77.7
2025-08-20,2,13:00,38,1,53,24,8.8,Rice,15.4,100,54.4
2025-07-26,1,12:00,27,4,33,71,8.1,Wheat,17.9,49,33.2
2025-07-22,2,13:00,35,4,52,65,18.1,Mustard,20.3,46,40.0
2025-02-03,2,16:00,89,6,113,23,13.8,Maize,4.7,101,74.2
2025-07-24,1,12:00,38,5,39,36,20.6,Mustard,11.6,39,49.0
2025-10-18,1,10:00,7,2,10,59,22.9,Cotton,6.8,57,44.4
2025-04-21,4,11:00,25,1,66,16,23.3,Wheat,14.1,25,63.0
2025-08-09,5,12:00,13,4,14,1,14.2,Wheat,34.1,51,45.7
2025-01-12,3,10:00,61,4,79,21,11.5,Cotton,20.8,86,77.0
2025-05-07,4,10:00,72,6,106,44,17.3,Wheat,15.6,78,70.9
2025-06-09,5,14:00,75,4,89,10,17.7,Mustard,20.2,132,90.2
2025-12-25,5,11:00,56,4,78,25,17.6,Rice,23.7,104,84.0
2025-03-20,1,16:00,69,2,72,68,12.5,Wheat,15.8,122,68.8
2025-04-11,5,11:00,37,1,72,5,8.1,Mustard,16.2,97,74.9
2025-05-30,1,09:00,56,6,84,3,10.6,Maize,24.8,115,59.8
2025-12-29,1,14:00,9,5,47,31,9.6,Wheat,3.1,54,13.2
2025-11-08,3,15:00,48,1,86,0,9.1,Maize,19.4,82,67.1
2025-01-13,4,11:00,50,5,65,2,22.7,Mustard,19.6,95,72.1
2025-03-27,1,10:00,2,3,3,13,7.2,Cotton,26.7,31,24.5
2025-10-27,2,10:00,49,3,64,7,17.2,Wheat,34.4,60,66.2
2025-01-22,2,12:00,65,6,71,60,23.1,Maize,28.1,90,73.2
2025-11-09,2,12:00,33,6,56,9,13.1,Wheat,18.1,63,47.7
2025-04-13,5,11:00,49,2,55,39,16.0,Maize,6.8,52,71.7
2025-12-01,2,09:00,25,2,66,52,18.8,Cotton,21.0,80,61.0
2025-04-18,2,12:00,24,5,51,46,12.4,Rice,29.4,83,45.1
2025-06-08,1,16:00,11,6,22,49,15.1,Wheat,32.7,38,18.8
2025-08-30,1,13:00,29,1,70,26,20.9,Cotton,29.1,61,63.4
2025-02-16,1,12:00,72,6,106,66,19.7,Wheat,7.4,126,80.6
2025-07-23,3,09:00,84,3,103,5,20.7,Cotton,25.2,113,103.3
2025-07-04,3,11:00,57,4,63,8,23.8,Cotton,30.9,101,80.2
2025-10-14,3,11:00,56,1,71,64,13.3,Rice,24.2,89,72.2
2025-12-30,5,14:00,55,5,81,5,19.7,Rice,24.3,72,68.9
2025-08-31,3,15:00,42,5,76,14,17.2,Rice,18.0,93,55.5
2025-05-30,1,16:00,38,4,49,12,18.3,Rice,22.7,50,54.4
2025-05-29,2,17:00,55,5,88,2,19.6,Wheat,11.0,69,61.0
2025-06-02,2,17:00,70,6,82,8,19.7,Rice,4.0,114,71.4
2025-10-25,5,16:00,37,6,48,42,22.1,Cotton,29.1,83,54.2
2025-04-28,2,09:00,50,5,70,49,12.9,Rice,33.1,112,69.5
2025-03-02,1,10:00,42,6,49,6,18.1,Cotton,30.1,88,59.5
2025-05-03,4,11:00,25,5,43,70,11.8,Maize,12.4,26,30.4
2025-01-09,3,13:00,26,5,42,7,17.1,Cotton,4.2,81,42.7
2025-02-08,1,09:00,7,4,19,51,19.8,Mustard,10.5,33,32.6
2025-02-02,4,15:00,39,5,73,60,20.4,Rice,29.7,39,53.3
2025-10-09,2,13:00,64,1,78,39,14.1,Maize,23.3,101,77.2
2025-09-21,5,13:00,61,4,92,36,15.6,Rice,33.9,72,76.9
2025-09-12,5,10:00,88,3,120,8,12.7,Mustard,12.7,115,100.8
2025-06-18,2,11:00,3,6,32,18,9.9,Mustard,19.8,33,23.5
2025-09-19,3,10:00,68,1,80,63,11.4,Cotton,27.9,72,76.7
2025-02-28,3,15:00,71,4,108,26,22.5,Mustard,9.0,126,79.1
2025-11-25,4,13:00,39,2,49,2,12.3,Cotton,33.8,72,59.7
2025-07-02,1,14:00,25,6,37,54,23.6,Maize,21.1,87,34.9
2025-12-09,2,11:00,32,6,71,51,11.1,Rice,1.3,62,38.2
2025-02-25,1,11:00,61,2,76,4,19.3,Maize,1.9,99,77.9
2025-07-01,4,12:00,77,6,108,3,16.8,Wheat,31.0,129,89.1
2025-09-12,1,14:00,57,3,58,8,18.8,Maize,22.9,70,64.4
2025-06-30,3,14:00,46,6,73,3,17.9,Wheat,26.9,105,64.2
2025-06-12,4,10:00,58,5,97,46,19.0,Maize,27.7,69,64.0
2025-03-02,5,16:00,6,1,37,9,22.4,Rice,15.3,70,55.2
2025-05-20,2,10:00,54,2,80,45,16.6,Maize,28.2,95,72.3
2025-03-29,1,15:00,3,3,41,13,8.2,Wheat,32.9,36,26.1
2025-04-21,4,09:00,86,2,99,72,11.6,Mustard,6.9,99,86.8
2025-09-07,1,11:00,80,1,96,54,19.0,Maize,27.0,116,95.3
2025-08-19,1,15:00,45,6,48,28,15.4,Wheat,11.5,80,43.7
2025-08-10,5,10:00,33,6,64,32,16.3,Rice,11.9,96,65.4
2025-05-13,5,12:00,65,3,97,4,17.1,Wheat,15.0,119,91.6
2025-12-17,4,12:00,57,2,90,4,13.5,Rice,30.4,88,83.4
2025-02-01,5,11:00,63,2,96,40,20.2,Rice,1.7,88,92.7
2025-05-06,1,14:00,46,6,51,1,19.3,Cotton,15.8,71,50.0
2025-02-13,1,15:00,21,2,50,47,19.1,Rice,24.1,45,42.3
2025-05-04,2,15:00,6,1,40,28,19.2,Wheat,4.8,6,30.6
2025-12-18,1,11:00,25,3,34,10,22.1,Wheat,27.9,27,51.5
2025-05-14,5,13:00,47,3,68,40,17.1,Maize,33.0,95,66.9
2025-11-28,1,11:00,38,4,79,41,23.4,Maize,4.1,54,57.8
2025-06-30,3,11:00,45,3,63,55,9.0,Rice,6.2,71,61.0
2025-09-13,5,10:00,24,6,57,14,17.7,Wheat,34.1,69,56.1
2025-06-16,4,16:00,84,4,107,41,19.2,Wheat,7.7,123,84.2
2025-04-08,2,15:00,33,6,62,63,15.1,Maize,3.7,56,32.1
2025-10-06,3,14:00,76,3,104,20,11.9,Cotton,33.4,124,87.0
2025-12-20,3,12:00,35,4,64,62,16.4,Cotton,31.3,45,62.7
2025-04-07,4,12:00,39,3,74,54,13.2,Rice,23.3,69,63.1
2025-10-12,3,12:00,54,5,94,32,22.5,Cotton,19.7,60,75.4
2025-04-06,2,13:00,23,5,36,66,13.1,Wheat,32.3,57,30.7
2025-09-19,4,12:00,19,2,60,72,10.0,Cotton,23.3,25,40.6
2025-10-15,5,10:00,34,6,62,17,16.8,Mustard,23.4,95,60.0
2025-06-14,3,10:00,72,6,98,73,13.7,Rice,29.7,114,79.5
2025-09-26,1,16:00,13,6,27,0,8.6,Cotton,23.2,28,18.7
2025-04-10,3,12:00,39,2,57,9,16.6,Cotton,18.1,78,74.0
2025-01-29,5,16:00,60,5,89,3,16.1,Mustard,14.3,82,69.1
2025-02-05,5,10:00,63,1,79,27,9.9,Wheat,18.1,96,81.6
2025-06-13,3,13:00,39,1,51,70,17.2,Wheat,18.8,49,49.3
2025-11-26,1,10:00,7,6,43,45,16.6,Maize,13.3,39,18.8
2025-02-16,3,11:00,1,1,19,46,20.2,Rice,16.2,7,47.0
2025-06-16,5,08:00,42,6,71,6,13.1,Rice,28.3,51,49.0
2025-09-14,5,09:00,72,3,73,38,11.2,Cotton,15.2,109,91.1
2025-03-15,1,16:00,2,2,5,28,23.2,Rice,1.9,34,35.3
2025-09-21,2,11:00,79,1,117,35,16.5,Rice,10.6,98,100.3
2025-04-22,3,13:00,60,5,66,19,7.5,Cotton,8.9,63,50.6
2025-10-23,1,12:00,0,5,35,15,21.0,Mustard,28.0,27,28.0
2025-07-31,5,12:00,30,3,70,71,10.3,Cotton,16.3,90,53.9
2025-07-19,1,13:00,19,5,40,41,20.4,Wheat,10.5,65,39.7
2025-03-06,4,10:00,85,2,124,30,19.0,Mustard,28.6,88,101.2
2025-06-19,5,17:00,49,4,68,5,23.5,Mustard,1.7,109,77.2
2025-11-09,4,15:00,29,2,71,57,23.4,Cotton,6.9,56,62.5
2025-01-08,4,14:00,25,4,35,35,11.7,Wheat,29.1,62,36.4
2025-10-04,2,12:00,50,1,69,29,20.0,Wheat,19.7,50,75.1
2025-06-29,5,10:00,0,3,17,50,12.4,Cotton,27.3,20,34.3
2025-09-20,3,16:00,23,4,58,9,17.7,Cotton,29.5,74,49.6
2025-08-31,1,11:00,14,4,15,39,17.2,Maize,33.0,35,35.6
2025-06-07,2,09:00,55,3,92,64,7.9,Rice,3.2,65,63.6
2025-04-23,2,11:00,60,4,61,34,7.1,Maize,28.2,65,56.0
2025-08-17,3,15:00,42,4,56,0,8.0,Rice,25.1,102,59.4
2025-02-21,2,13:00,12,2,38,17,9.2,Cotton,8.0,64,34.7
2025-08-02,3,14:00,33,2,39,4,11.4,Wheat,32.7,35,54.7
2025-02-04,3,15:00,75,4,97,37,22.4,Maize,14.7,135,79.5
2025-08-26,2,10:00,18,6,62,27,15.8,Rice,31.2,71,46.2
2025-08-18,4,16:00,14,5,51,9,20.5,Maize,21.6,37,34.8
2025-01-31,2,12:00,10,4,11,51,21.3,Rice,18.9,52,38.2
2025-10-04,4,13:00,73,6,99,13,19.5,Cotton,6.4,89,75.9
2025-06-01,2,08:00,10,6,36,25,13.7,Mustard,32.1,26,23.8
2025-10-15,5,17:00,52,4,55,74,21.7,Wheat,19.9,98,65.3
2025-01-16,2,11:00,89,1,118,4,19.6,Wheat,1.2,102,103.8
2025-03-07,1,09:00,57,4,80,18,19.6,Cotton,1.6,80,74.1
2025-06-30,1,12:00,37,4,67,23,22.3,Wheat,27.4,60,62.2
2025-03-10,5,10:00,18,2,31,38,17.2,Rice,6.5,27,51.9
2025-05-01,5,10:00,0,6,11,18,16.0,Mustard,21.4,53,30.1
2025-08-30,2,13:00,14,6,47,72,22.1,Rice,24.2,57,34.7
2025-02-22,4,12:00,85,2,117,0,14.7,Wheat,10.5,141,110.6
2025-09-05,3,16:00,12,3,19,71,20.8,Cotton,20.4,46,31.5
2025-02-07,1,11:00,1,2,10,40,7.9,Cotton,9.2,12,16.2
2025-03-05,3,14:00,73,2,99,2,7.0,Cotton,33.2,91,73.0
2025-08-03,4,12:00,37,2,74,8,16.0,Maize,30.2,59,70.6
2025-10-17,5,13:00,32,3,41,7,8.3,Wheat,10.8,93,51.2
2025-03-04,5,13:00,64,2,73,21,23.6,Mustard,19.0,79,79.2
2025-04-20,1,12:00,47,1,83,24,7.1,Rice,18.0,92,75.8
2025-12-04,2,16:00,82,3,113,48,19.2,Maize,33.6,89,81.5
2025-12-28,3,11:00,42,4,82,23,11.1,Mustard,14.4,104,71.0
2025-08-01,1,10:00,64,2,99,54,23.4,Wheat,20.1,106,86.1
2025-06-13,3,14:00,79,4,121,22,13.5,Cotton,32.6,106,79.8
2025-05-07,1,15:00,41,2,49,19,7.5,Wheat,6.5,63,44.6
2025-08-12,1,09:00,25,5,37,20,7.5,Rice,19.7,48,37.7
2025-08-04,1,12:00,87,4,97,24,16.4,Cotton,4.6,101,85.7
2025-04-18,2,15:00,20,6,22,62,23.8,Mustard,22.0,58,26.8
2025-01-09,4,14:00,3,1,38,18,23.7,Cotton,13.4,59,50.0
2025-02-25,1,17:00,52,6,81,20,12.7,Mustard,33.9,67,45.1
2025-12-16,5,13:00,88,3,91,71,15.2,Maize,15.1,136,91.0
2025-06-02,2,13:00,7,1,15,49,8.7,Mustard,5.6,43,23.2
2025-06-26,1,11:00,76,5,84,14,15.9,Wheat,29.4,126,88.2
2025-06-20,2,16:00,74,2,92,65,17.2,Wheat,28.9,124,74.3
2025-10-13,4,11:00,83,2,103,13,11.3,Cotton,24.6,85,94.6
2025-01-24,1,14:00,37,6,50,12,17.4,Wheat,26.5,38,40.0
2025-01-31,1,12:00,22,2,63,33,22.3,Rice,10.0,81,59.1
2025-04-11,5,13:00,46,4,55,51,7.0,Wheat,22.8,56,42.8
2025-06-27,3,14:00,12,2,37,14,10.9,Rice,2.3,49,35.2
2025-09-02,2,12:00,75,1,94,56,10.6,Mustard,7.7,123,84.7
2025-06-29,4,16:00,59,1,76,11,9.1,Wheat,32.7,91,76.9
2025-06-11,5,12:00,43,1,80,58,9.8,Mustard,26.1,43,58.7
2025-12-09,2,13:00,46,3,90,7,17.6,Maize,8.8,46,54.4
2025-02-28,3,11:00,64,3,64,34,8.7,Wheat,4.8,107,72.3
2025-07-28,1,12:00,47,1,67,48,19.6,Wheat,33.3,105,75.7
2025-07-17,2,12:00,75,3,80,19,22.1,Rice,4.8,97,87.9
2025-06-22,3,10:00,83,2,102,45,22.8,Maize,9.7,118,105.5
2025-10-22,1,09:00,85,4,112,51,18.2,Mustard,7.2,145,94.8
2025-04-08,5,13:00,55,6,73,48,10.4,Cotton,1.3,108,52.6
2025-12-15,5,13:00,66,5,79,29,8.5,Wheat,11.7,101,58.4
2025-05-02,2,13:00,27,6,41,57,10.9,Cotton,34.1,69,27.7
2025-07-18,2,08:00,3,2,16,54,23.4,Wheat,12.6,65,36.2
2025-07-10,1,11:00,36,2,50,24,23.4,Cotton,18.1,87,71.3
2025-11-07,3,10:00,78,5,94,55,13.5,Wheat,26.4,105,79.7
2025-06-10,1,14:00,12,2,42,68,12.5,Maize,19.7,57,26.6
2025-04-14,2,15:00,49,6,53,61,15.7,Rice,26.3,70,43.2
2025-01-08,3,11:00,17,3,18,54,12.0,Wheat,23.5,76,44.4
2025-05-13,4,13:00,38,2,61,57,23.7,Rice,21.7,44,58.1
2025-10-29,3,10:00,12,6,42,60,10.8,Wheat,23.1,26,21.3
2025-01-04,2,11:00,66,4,77,21,13.3,Wheat,28.2,88,71.0
2025-11-24,4,10:00,72,5,81,54,14.3,Mustard,25.1,85,72.0
2025-07-18,4,11:00,68,3,96,14,9.1,Rice,27.9,106,89.4
2025-02-21,4,14:00,63,1,80,26,13.5,Rice,6.0,109,79.2
2025-04-21,3,16:00,21,5,54,70,21.6,Maize,24.0,78,41.1
2025-07-22,5,10:00,47,1,53,21,9.4,Wheat,26.1,79,64.4
2025-04-26,2,13:00,9,4,14,63,16.9,Rice,11.2,49,26.5
2025-02-09,5,14:00,33,3,57,31,13.9,Wheat,30.7,71,54.8
2025-09-01,2,16:00,45,5,62,15,9.9,Mustard,11.4,45,45.0
2025-09-03,2,13:00,60,6,92,7,7.2,Rice,9.3,106,54.5
2025-02-13,3,11:00,8,3,30,41,11.6,Wheat,30.5,9,30.3
2025-04-13,3,13:00,73,6,88,33,8.1,Wheat,9.4,108,65.9
2025-03-31,4,11:00,41,1,48,38,13.4,Maize,15.1,105,68.9
2025-08-29,2,17:00,79,1,86,3,20.8,Wheat,13.5,130,94.4
2025-09-24,5,12:00,47,6,81,20,19.2,Cotton,31.5,79,70.2
2025-09-23,2,14:00,49,4,59,0,23.1,Maize,16.5,69,56.6
2025-12-09,3,08:00,62,3,84,22,14.3,Mustard,24.6,116,73.8
2025-10-08,5,12:00,73,1,109,69,19.0,Rice,28.0,128,107.7
2025-04-28,3,15:00,14,2,54,11,18.3,Cotton,22.3,37,46.2
2025-02-09,4,13:00,46,5,58,51,10.7,Maize,33.1,52,44.8
2025-08-13,5,12:00,2,5,6,0,12.2,Wheat,28.3,39,31.6
2025-12-01,5,16:00,42,6,76,42,16.0,Maize,14.6,83,51.0
2025-12-22,3,15:00,73,3,103,69,20.5,Maize,33.3,133,86.5
2025-03-26,3,11:00,77,3,91,25,14.9,Wheat,18.8,134,90.4
2025-03-28,1,13:00,25,1,51,14,10.9,Wheat,1.8,39,42.1
2025-01-14,3,12:00,34,1,42,42,23.9,Cotton,9.8,50,70.3
2025-02-21,5,13:00,49,3,80,20,9.0,Wheat,22.1,113,67.6
2025-07-22,3,11:00,35,4,67,66,23.3,Cotton,6.3,56,54.0
2025-07-19,2,11:00,16,1,29,63,20.8,Wheat,20.9,45,47.1
2025-05-16,1,16:00,27,3,48,48,21.3,Cotton,13.3,46,41.2
2025-04-24,2,16:00,36,4,51,47,20.5,Rice,19.2,61,49.4
2025-10-30,2,15:00,46,5,47,45,10.5,Wheat,1.1,82,34.6
2025-06-17,5,17:00,82,6,87,55,17.8,Wheat,29.8,101,75.9
2025-10-23,3,14:00,49,3,92,34,19.9,Wheat,13.3,75,66.5
2025-12-18,1,14:00,34,3,54,72,19.7,Mustard,5.8,56,43.0
2025-04-26,1,14:00,59,6,65,25,11.6,Wheat,15.9,66,45.7
2025-03-15,5,12:00,69,5,70,0,10.1,Maize,17.5,120,80.6
2025-12-14,5,12:00,38,2,53,52,12.6,Cotton,22.7,95,72.3
2025-08-20,4,11:00,44,5,88,49,15.2,Rice,18.8,75,61.7
2025-04-17,1,13:00,19,1,36,73,16.8,Maize,2.5,32,31.5
2025-08-15,1,11:00,77,3,121,29,21.2,Cotton,30.6,118,99.1
2025-07-07,1,11:00,78,2,100,31,20.1,Cotton,16.5,112,98.6
2025-11-27,4,13:00,15,6,49,42,18.5,Wheat,3.6,50,23.8
2025-04-04,4,12:00,31,1,66,29,11.5,Cotton,27.3,69,65.8
2025-12-28,5,10:00,24,6,25,58,15.1,Mustard,23.4,70,44.0
2025-12-08,1,15:00,83,2,83,32,12.7,Maize,23.1,85,74.6
2025-03-07,1,15:00,5,1,46,58,11.0,Mustard,15.5,11,23.0
